Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C8",0402,3,1uF,C14445
C3,0402,1,10uF,C315248
"C4, C6, C7",0402,3,100nF,C77020
D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
J1,PinSocket_1x04_P2.54mm_Vertical,1,SSD1306,C2718488
J2,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,C2943127
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J4,PinHeader_1x02_P2.54mm_Vertical,1,ARM,C42431798
"R1, R2",0402,2,10k,C60490
"R3, R4",0402,2,5.1k,C105872
R5,0402,1,33R,C138002
S1,SW_SKRPACE010,1,BOOT,C139797
S2,SW_SKRPACE010,1,EN,C139797
U2,SOIC127P790X216-8N,1,W25Q16JVSSIQ,C131025
U3,SOT94P279X129-5N,1,RT9013-33GB,C47773
U4,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,C2980299